trip,stopA_id,stopB_id,lat_A,long_A,lat_B,long_B
149B,S1001,S937,5.53562,-0.228926,5.53619,-0.226506
476B,S1001,S937,5.53562,-0.228926,5.53619,-0.226506
524B,S1001,S937,5.53562,-0.228926,5.53619,-0.226506
244B,S1153,S1000,5.53479,-0.23291,5.53417,-0.235723
476B,S1153,S1001,5.53479,-0.23291,5.53562,-0.228926
173B,S1187,S1188,5.56795,-0.180797,5.56585,-0.18116
416B,S1188,S3986,5.56585,-0.18116,5.5628,-0.181676
456B,S1188,S3986,5.56585,-0.18116,5.5628,-0.181676
248B,S121,T118,5.5863,-0.251435,5.58776,-0.251448
185B,S1320,S1321,5.52758,-0.236279,5.52712,-0.239462
376B,S1336,S1336,5.59239,-0.204243,5.59239,-0.204243
219B,S1370,S1370,5.57301,-0.216396,5.57301,-0.216396
104B,S14,S14,5.6877,-0.281836,5.6877,-0.281836
048B,S1535,T0,5.60076,-0.23916,5.6074,-0.247032
255A,S1570,S2220,5.6282,-0.176514,5.62086,-0.176244
256A,S1570,S2220,5.6282,-0.176514,5.62086,-0.176244
242B,S1815,S1818,5.54649,-0.264636,5.5417,-0.264706
246B,S1815,S1818,5.54649,-0.264636,5.5417,-0.264706
237B,S1818,T211,5.5417,-0.264706,5.53009,-0.265223
243A,S1880,S2052,5.55035,-0.264614,5.55706,-0.264801
239A,S1949,S1877,5.53792,-0.264732,5.54375,-0.264573
240A,S1949,S1979,5.53792,-0.264732,5.54131,-0.264805
246A,S1949,S1979,5.53792,-0.264732,5.54131,-0.264805
318A,S1993,S2335,5.60262,-0.258491,5.60515,-0.252326
260A,S210,S2293,5.53142,-0.257723,5.53177,-0.255202
260A,S2288,S2289,5.52727,-0.266436,5.52897,-0.264425
445A,S2288,S2289,5.52727,-0.266436,5.52897,-0.264425
260A,S2291,S210,5.53112,-0.261184,5.53142,-0.257723
260A,S2293,S2294,5.53177,-0.255202,5.53194,-0.253713
263A,S2335,S853,5.60515,-0.252326,5.60769,-0.246312
409B,S2357,S2357,5.60781,-0.24579,5.60781,-0.24579
273B,S2437,S2488,5.54825,-0.240152,5.55095,-0.240095
277B,S2488,S2583,5.55095,-0.240095,5.55348,-0.240148
276B,S2578,S2311,5.52752,-0.266171,5.52922,-0.264124
305B,S2583,T75,5.55348,-0.240148,5.56507,-0.235921
226A,S27,S26,5.58337,-0.208371,5.58489,-0.208197
389B,S2885,S1336,5.59468,-0.202276,5.59239,-0.204243
334A,S3142,S509,5.63561,-0.215062,5.63742,-0.213015
055B,S3162,T0,5.6079,-0.245762,5.6074,-0.247032
334B,S3162,T0,5.6079,-0.245762,5.6074,-0.247032
044A,S3284,S3284,5.6437,-0.237885,5.6437,-0.237885
123B,S3288,S3288,5.64753,-0.236597,5.64753,-0.236597
404B,S3642,T136,5.59391,-0.194835,5.58137,-0.198538
405B,S3642,T136,5.59391,-0.194835,5.58137,-0.198538
114B,S378,S378,5.65777,-0.265466,5.65777,-0.265466
416A,S3974,S3975,5.56795,-0.180752,5.57059,-0.180332
456B,S3986,S3989,5.5628,-0.181676,5.5596,-0.182212
456B,S3989,S1189,5.5596,-0.182212,5.55636,-0.182718
104A,S415,S415,5.68773,-0.281729,5.68773,-0.281729
446A,S4320,S4320,5.55152,-0.240265,5.55152,-0.240265
224A,S466,S466,5.59127,-0.216939,5.59127,-0.216939
488B,S4714,T4715,5.55239,-0.251108,5.54954,-0.2574
524A,S4869,S4870,5.53883,-0.246567,5.53983,-0.251367
351A,S494,S509,5.6413,-0.205381,5.63742,-0.213015
100A,S517,T497,5.64064,-0.179353,5.64911,-0.179331
015B,S5246,S5246,5.6444,-0.237586,5.6444,-0.237586
044B,S5246,S5246,5.6444,-0.237586,5.6444,-0.237586
019A,S5435,S5435,5.65777,-0.265315,5.65777,-0.265315
023A,S5537,S5535,5.56937,-0.147489,5.5651,-0.1446
026B,S5564,S5564,5.59931,-0.236171,5.59931,-0.236171
061B,S567,S569,5.60501,-0.203651,5.60749,-0.207327
076B,S567,S569,5.60501,-0.203651,5.60749,-0.207327
103B,S567,S569,5.60501,-0.203651,5.60749,-0.207327
008A,S6164,S6164,5.6792,-0.022384,5.6792,-0.022384
334B,S752,S3162,5.61281,-0.226714,5.6079,-0.245762
118B,S775,S775,5.56666,-0.14552,5.56666,-0.14552
120B,S805,S805,5.68987,-0.196282,5.68987,-0.196282
122A,S855,S855,5.60809,-0.245779,5.60809,-0.245779
122A,S855,S855,5.60809,-0.245779,5.60809,-0.245779
270B,S934,S934,5.53569,-0.246252,5.53569,-0.246252
170B,S937,S1153,5.53619,-0.226506,5.53479,-0.23291
244B,S937,S1153,5.53619,-0.226506,5.53479,-0.23291
524A,S991,S4869,5.53561,-0.246314,5.53883,-0.246567
098B,T0,S486,5.6074,-0.247032,5.60912,-0.238147
339A,T0,T534,5.6074,-0.247032,5.67642,-0.172071
240A,T211,S1949,5.53009,-0.265223,5.53792,-0.264732
246A,T211,S1949,5.53009,-0.265223,5.53792,-0.264732
447B,T244,S937,5.54863,-0.201709,5.53619,-0.226506
442A,T4238,T2022,5.64075,-0.176294,5.64198,-0.166247